gene_name	Control_Rep.A	Control_Rep.B	Treat1_Rep.A	Treat1_Rep.B	Treat2_Rep.A	Treat2_Rep.B	Treat3_Rep.A	Treat3_Rep.B
C1_06880C_A	4.247927513	4.169925001	4	5.209453366	6.658211483	6.614709844	2.807354922	3.321928095
C1_06890C_A	14.41580778	14.71446019	13.88292957	13.26941893	10.09934781	10.36632221	11.04848687	10.75822321
C1_06900C_A	12.90519895	12.91363743	12.29145852	12.17336483	10.66444728	10.74903138	12.08115052	11.86302471
C1_06910C_A	10.07012094	10.39660478	11.49385545	11.74735383	12.44164739	12.49859993	11.40567333	11.37068741
C1_06920C_A	8.129283017	8.28077077	8.326429487	7.918863237	8.957102042	8.95419631	9.233619677	8.991521846
C1_06930W_A	12.96361862	12.95110255	12.99364606	13.32502431	14.08729708	14.26312246	14.04703868	14.02141379
C1_06940C_A	11.34540525	9.400879436	10.54109662	10.54109662	10.30378075	10.36959735	9.791162889	9.818582177
C1_06960W_A	12.62844554	12.88397967	13.22881869	12.57813678	12.10394343	12.20181762	11.75154406	11.32699117
C1_06970C_A	11.26209485	10.6926155	9.882643049	9.971543554	10.26795708	10.35314683	11.26033152	10.82813648
C1_06980C_A	9.658211483	10.17866485	10.57648435	10.69696753	10.4429435	10.52845411	10.18982456	9.743151394
C1_07000W_A	8.344295908	9.799281622	10.10983065	9.717676423	10.10590851	10.2644426	8.451211112	8.622051819
C1_07010W_A	7.06608919	7.839203788	9.052568051	9.566054038	9.199672345	9.315149562	9.370687407	9.20701432
C1_07020C_A	9.475733431	10.16364968	11.59851781	11.11504365	11.22098285	11.2772874	10.82813648	10.68737568
C1_07030C_A	7.988684687	8.64385619	9.445014846	10.89708913	11.11699368	11.26561505	11.85720347	11.40087944
C1_07040C_A	6.599912842	4.247927513	3	3.584962501	3.584962501	3	3.459431619	2
C1_07050C_A	8.965784285	9.044394119	9.826548487	9.548821908	10.68999797	10.70476824	9.584962501	9.791162889
C1_07060C_A	9.550746785	9.301496195	9.479780264	8.882643049	9.562242424	9.562242424	9.211888295	9.392317423
C1_07070C_A	9.13442632	8.897845456	8.918863237	10.24911345	9.86727874	10.06743436	9.517669388	9.672425342
C1_07080W_A	7.383704292	6.584962501	5.882643049	7.159871337	9.894817763	9.900866808	10.31628153	10.11504365
C1_07090C_A	10.2911707	10.38046107	11.1376316	11.19229281	11.6411486	11.71639079	10.75739001	10.72280753
C1_07100C_A	9.426264755	8.495855027	8.558420713	8.891783703	9.266786541	9.303780748	9.651051691	9.588714636
C1_07110W_A	10.76652891	10.72962074	11.30606169	11.6329952	11.70390357	11.84784036	11.27786855	11.16050175
C1_07120W_A	11.52698821	12.37449615	12.25384748	12.82515755	12.70000615	12.81558343	12.69544581	12.29548197
C1_07130C_A	8.991521846	9.636624621	10.203348	10.06608919	10.25384748	10.25620869	8.588714636	8.622051819
C1_07140C_A	10.93737382	11.41098127	12.77581601	12.03617361	13.14051027	13.26737193	12.50531536	12.43567026
C1_07150W_A	6.64385619	7.417852515	8.957102042	7.721099189	9.804131021	9.951284715	8.607330314	8.199672345
C1_07160C_A	10.6110248	10.28771238	7.294620749	7.366322214	5	5.285402219	6.857980995	7.417852515
C1_07170C_A	7.442943496	9.030667136	7.375039431	8	9.319672121	9.471675214	8.204571144	8.238404739
C1_07180W_A	12.24822409	11.74693414	11.84666568	11.98049664	13.67915018	13.7619667	12.87113518	12.80493767
C1_07190W_A	10.00702727	10.3553511	10.91288934	11.08679969	11.66711154	11.79400965	11.1711768	11.42259043
C1_07200W_A	10.80654962	11.37503943	11.29404631	10.41574177	10.76404222	10.94397991	9.438791853	9.236014192
C1_07210C_A	10.58120058	10.34429591	10.71424552	10.5526691	10.74567432	10.87958325	10.61746747	10.44604941
C1_07220W_A	8.294620749	8.392317423	9.071462363	10.12928302	11.54351522	11.5372184	11.18363538	10.75739001
C1_07230W_A	13.34762137	12.10164745	11.61562964	11.53040634	10.39339046	10.41996018	11.04028972	11.08812569
C1_07240W_A	9.997179481	9.915879379	9.921840937	9.368506462	10.2911707	10.34651373	9.847057346	9.703903573
C1_07250C_A	10.74651432	10.26795708	10.25148241	10.29462075	11.00140819	10.98513037	11.21006248	11.16050175
C1_07260C_A	9.813781191	9.527477006	9.903881846	10.25029842	10.76238204	10.83209885	10.21674586	10.05934446
C1_07270W_A	10.79279029	10.75822321	11.32923574	11.38532318	11.66711154	11.67683861	11.56128795	11.42626475
C1_07280C_A	7.483815777	7.523561956	7.73470962	7.247927513	8.271463028	8.392317423	8.189824559	7.839203788
C1_07290W_A	7.044394119	6.741466986	7.257387843	6.807354922	7.741466986	7.672425342	7.599912842	7.330916878
C1_07320W_A	2.584962501	2.321928095	3.321928095	3.459431619	4.700439718	4.906890596	2.321928095	0
C1_07330W_A	9.35974956	8.523561956	4.584962501	7.845490051	8.209453366	8.189824559	4.087462841	5.754887502
C1_07340W_A	11.60037755	11.76238204	12.21856324	12.71960273	12.23391921	12.32164629	11.50233458	11.5526691
C1_07350C_A	10.07414146	9.535275377	11.39981196	11.87421293	11.67021364	11.6794801	11.8372337	11.49235395
C1_07360W_A	9.663558104	10.53624722	12.10623576	12.52625469	12.07514484	12.09539702	11.58683979	11.68956125
C1_07370C_A	7.714245518	7.515699838	8.614709844	8.761551232	9.743151394	9.810571635	9.226412193	9.105908509
C1_07380C_A	8.654636029	8.383704292	7.693486957	8.033423002	8.77148947	8.703903573	8.982993575	8.813781191
C1_07390W_A	11.15860969	11.16302064	11.03204573	11.1376316	12.28713519	12.26356264	11.62342429	11.70692764
C1_07400C_A	8.764871591	9.22881869	9.266786541	8.813781191	8.672425342	8.727920455	7.900866808	8.129283017
C1_07410C_A	11.8963324	11.58683979	11.73216743	11.26033152	12.55913806	12.6105635	11.9893945	11.78422586
C1_07420C_A	8.339850003	9.118941073	8.717676423	8.405141463	9.6794801	9.62388149	8.758223215	8.95419631
C1_07430W_A	4.807354922	4.700439718	3	4.906890596	6.14974712	5.584962501	3.700439718	2.321928095
C1_07440W_A	11.03204573	10.64745843	10.33427329	10.47775827	10.8494051	10.92555444	11.19844504	11.23900176
C1_07450W_A	3	2.584962501	2.584962501	2.584962501	3.584962501	2.807354922	0	1
